,Report_No,Reported_Date,IBRS,Race,Sex,Age
132,KC19035512,05/14/2019,23H,B,M,35.0
133,KC19035583,05/14/2019,23H,B,F,
134,KC19035798,05/15/2019,,W,M,
135,KC19035956,05/16/2019,13B,W,M,25.0
136,KC19036004,05/16/2019,,W,M,34.0
137,KC19036100,05/16/2019,23H,,,
138,KC19036246,05/17/2019,,B,M,36.0
139,KC19036398,05/17/2019,240,,M,30.0
140,KC19036530,05/17/2019,120,,,
141,KC19036743,05/18/2019,11A,B,M,
142,KC19036878,05/19/2019,,W,M,41.0
143,KC19036939,05/19/2019,13A,B,F,
144,KC19037093,05/20/2019,,B,M,42.0
145,KC19037132,05/20/2019,290,B,M,
146,KC19037223,05/20/2019,,W,M,53.0
147,KC19037256,05/20/2019,23C,,,
148,KC19037319,05/20/2019,240,W,M,24.0
149,KC19037450,05/21/2019,23C,,,
150,KC19037487,05/21/2019,240,W,M,33.0
151,KC19037620,05/21/2019,,W,F,42.0
152,KC19037796,05/22/2019,13A,W,M,33.0
153,KC19037949,05/22/2019,,B,M,45.0
154,KC19037995,05/23/2019,23C,W,F,29.0
155,KC19067767,09/06/2019,90Z,B,M,44.0
156,KC19038359,05/24/2019,13A,B,M,
157,KC19038381,05/24/2019,,W,M,34.0
158,KC19038510,05/24/2019,,W,M,35.0
159,KC19038719,05/25/2019,290,B,F,24.0
160,KC19038801,05/26/2019,240,,,
161,KC19039081,05/27/2019,90J,W,M,72.0
162,KC19039115,05/27/2019,290,B,F,27.0
163,KC19039221,05/27/2019,,W,M,34.0
164,KC19039328,05/28/2019,26E,,,
165,KC19039397,05/28/2019,,B,M,28.0
166,KC19039465,05/28/2019,90J,,,
167,KC19039510,05/28/2019,,B,F,19.0
168,KC19039547,05/29/2019,,W,F,19.0
169,KC19039699,05/29/2019,240,,,
170,KC19040049,05/30/2019,,W,M,21.0
171,KC19040179,05/31/2019,,W,M,60.0
172,KC19040287,05/31/2019,,W,M,21.0
173,KC19040399,05/31/2019,,W,F,56.0
174,KC19040525,06/01/2019,23F,,,
175,KC19040552,06/01/2019,,W,F,31.0
176,KC19040585,06/01/2019,,W,M,23.0
177,KC19040619,06/01/2019,120,B,M,
178,KC19040640,06/01/2019,120,W,F,57.0
179,KC19040691,06/02/2019,120,B,M,
180,KC19040818,06/02/2019,13A,W,F,
181,KC19040937,06/03/2019,23C,,,
182,KC19041004,06/03/2019,,W,M,18.0
183,KC19041098,06/03/2019,13B,W,F,45.0
184,KC19041250,06/04/2019,,B,M,27.0
185,KC19041502,06/04/2019,,W,F,47.0
186,KC19041548,06/04/2019,13A,B,M,34.0
187,KC19041714,06/05/2019,13A,B,M,33.0
188,KC19041756,06/05/2019,,W,M,56.0
189,KC19041793,06/05/2019,250,,,
190,KC19041876,06/05/2019,,,F,41.0
191,KC19041968,06/06/2019,,B,M,32.0
192,KC19042191,06/06/2019,,,,
193,KC19042219,06/06/2019,23C,,,
194,KC19042267,06/03/2019,13C,B,M,24.0
195,KC19042286,06/07/2019,220,,,
196,KC19042503,06/07/2019,,B,M,20.0
197,KC19042914,06/09/2019,,W,M,52.0
198,KC19042964,06/09/2019,,B,M,
199,KC19043036,06/10/2019,90J,,,
200,KC19043229,06/10/2019,,W,F,20.0
201,KC19043244,06/10/2019,90Z,B,M,31.0
202,KC19043271,06/10/2019,26F,W,F,34.0
203,KC19043335,06/11/2019,90Z,W,M,28.0
204,KC19043528,06/11/2019,13B,B,F,95.0
205,KC19043606,06/11/2019,,B,F,37.0
206,KC19043742,06/12/2019,,W,M,54.0
207,KC19043811,06/12/2019,,W,F,31.0
208,KC19044074,06/13/2019,,W,F,38.0
209,KC19044204,06/13/2019,13A,W,M,30.0
210,KC19044304,06/14/2019,,W,M,36.0
211,KC19044364,06/14/2019,240,B,M,35.0
212,KC19044607,06/15/2019,23C,,,
213,KC19044678,06/15/2019,290,B,F,
214,KC19044723,06/15/2019,13B,B,M,62.0
215,KC19044764,06/15/2019,90D,B,M,35.0
216,KC19044776,06/16/2019,90C,W,M,23.0
217,KC19044811,06/16/2019,11A,W,F,35.0
218,KC19044862,06/16/2019,290,W,M,36.0
219,KC19044921,06/16/2019,13B,B,F,
220,KC19045271,06/17/2019,,W,M,24.0
221,KC19045424,06/18/2019,26C,W,F,44.0
222,KC19045468,06/18/2019,290,W,F,66.0
223,KC19045602,06/18/2019,90C,W,M,
224,KC19045673,06/19/2019,,W,F,23.0
225,KC19046015,06/20/2019,120,,M,29.0
226,KC19046337,06/21/2019,,B,M,22.0
227,KC19046408,06/21/2019,13B,W,F,51.0
228,KC19046462,06/21/2019,,W,F,24.0
229,KC19046566,06/22/2019,,B,F,29.0
230,KC19046612,06/22/2019,23D,B,F,20.0
231,KC19046623,06/22/2019,23F,W,M,29.0
232,KC19046652,06/22/2019,23C,,,
233,KC19046705,06/23/2019,240,B,M,55.0
234,KC19046736,06/23/2019,120,B,M,
235,KC19046796,06/23/2019,13B,B,M,22.0
236,KC19046840,06/23/2019,240,B,M,22.0
237,KC19046862,06/23/2019,280,,,
238,KC19046906,06/23/2019,,W,M,54.0
239,KC19046951,06/24/2019,90D,B,F,27.0
240,KC19047213,06/24/2019,,W,M,31.0
241,KC19047240,06/25/2019,,B,F,31.0
242,KC19047274,06/25/2019,,B,F,24.0
243,KC19047296,06/25/2019,290,W,F,51.0
244,KC19047327,06/25/2019,,I,M,28.0
245,KC19047547,06/26/2019,,W,M,51.0
246,KC19047648,06/26/2019,,W,M,51.0
247,KC19047806,06/27/2019,,B,M,19.0
248,KC19048017,06/27/2019,,W,F,31.0
249,KC19048083,06/28/2019,,W,M,36.0
250,KC19048112,06/28/2019,,B,M,47.0
251,KC19048315,06/28/2019,,W,F,87.0
252,KC19048556,06/29/2019,13B,W,F,23.0
253,KC19048594,06/29/2019,,B,M,23.0
254,KC19048735,06/30/2019,,W,M,40.0
255,KC19048909,07/01/2019,23H,W,M,28.0
256,KC19049258,07/02/2019,90J,,,
257,KC19089701,11/23/2019,23C,B,M,30.0
258,KC19049396,07/02/2019,,W,M,46.0
259,KC19049408,07/02/2019,,W,F,37.0
260,KC19049488,07/03/2019,90Z,W,M,61.0
261,KC19049538,07/03/2019,26A,,,
262,KC19049586,07/03/2019,13B,B,M,
263,KC19049618,07/03/2019,23D,B,F,
264,KC19049661,07/03/2019,,,M,52.0
265,KC19049700,07/03/2019,,W,F,
266,KC19049719,07/03/2019,13A,B,M,33.0
267,KC19049952,07/04/2019,13A,W,M,25.0
268,KC19050036,07/05/2019,290,W,F,43.0
269,KC19050109,07/05/2019,,W,M,
270,KC19050360,07/06/2019,23C,,,
271,KC19050411,07/06/2019,11A,B,F,27.0
272,KC19050428,07/06/2019,13B,B,F,29.0
273,KC19050626,07/07/2019,13A,B,M,43.0
274,KC19050722,07/07/2019,13A,B,M,23.0
275,KC19050852,07/08/2019,,W,F,35.0
276,KC19050977,07/08/2019,23F,W,M,55.0
277,KC19050987,07/08/2019,23C,,,
278,KC19051067,07/08/2019,200,B,M,44.0
279,KC19051297,07/09/2019,290,W,M,26.0
280,KC19051357,07/09/2019,,B,M,26.0
281,KC19051450,07/10/2019,23H,,,
282,KC19051515,07/10/2019,23H,B,F,51.0
283,KC19051536,07/10/2019,240,,,
284,KC19051786,07/11/2019,,W,F,34.0
285,KC19051932,07/11/2019,23C,,,
286,KC19052224,07/12/2019,,W,M,31.0
287,KC19052265,07/13/2019,13A,B,M,
288,KC19052297,07/13/2019,,B,M,39.0
289,KC19052342,07/13/2019,13B,W,F,33.0
290,KC19052410,07/13/2019,,B,M,45.0
291,KC19052555,07/14/2019,,B,M,34.0
292,KC19052853,07/15/2019,,W,M,56.0
293,KC19052900,07/15/2019,11A,W,F,36.0
294,KC19052973,07/15/2019,23H,W,M,28.0
295,KC19052993,07/15/2019,23C,B,M,23.0
296,KC19053062,07/15/2019,,B,F,55.0
297,KC19053448,07/17/2019,23H,,,
298,KC19053528,07/17/2019,,W,F,21.0
299,KC19053580,07/17/2019,280,W,M,40.0
300,KC19047262,06/25/2019,,U,M,19.0
301,KC19053731,07/18/2019,120,B,M,27.0
302,KC19037291,05/20/2019,,B,F,
303,KC19053784,07/18/2019,13C,W,F,35.0
304,KC19053945,07/18/2019,90J,B,M,27.0
305,KC19049049,07/01/2019,90Z,B,M,36.0
306,KC19044913,06/16/2019,90Z,W,M,54.0
307,KC19051312,07/09/2019,,U,F,22.0
308,KC19054285,07/20/2019,,W,F,33.0
309,KC19054407,07/20/2019,23H,W,F,44.0
310,KC19054479,07/20/2019,,W,M,18.0
311,KC19054766,07/22/2019,,W,M,37.0
312,KC19054784,07/22/2019,290,,,
313,KC19054799,07/22/2019,11B,B,M,
314,KC19039789,05/29/2019,13B,B,F,44.0
315,KC19054965,07/23/2019,,B,F,29.0
316,KC19055037,07/23/2019,90C,W,M,54.0
317,KC19055227,07/23/2019,,B,M,20.0
318,KC19055422,07/24/2019,90C,,,
319,KC19055561,07/25/2019,13B,W,F,20.0
320,KC19055676,07/25/2019,,B,M,
321,KC19055722,07/25/2019,13A,B,F,20.0
322,KC19055750,07/25/2019,13B,W,M,26.0
323,KC19055803,07/25/2019,,,,
324,KC19055910,07/26/2019,,U,M,29.0
325,KC19056450,07/28/2019,,,M,47.0
326,KC19056715,07/29/2019,23H,W,F,63.0
327,KC19056821,07/29/2019,23C,,,
328,KC19056833,07/29/2019,11A,W,F,35.0
329,KC19056900,07/30/2019,,W,F,32.0
330,KC19056931,07/30/2019,26B,W,M,26.0
331,KC19039188,05/27/2019,,B,F,52.0
332,KC19057112,07/30/2019,240,W,M,
333,KC19097397,12/24/2019,,B,M,28.0
334,KC19057316,07/31/2019,,,,
335,KC19044621,06/15/2019,11D,W,F,
336,KC19057650,08/01/2019,13B,W,M,33.0
337,KC19057707,08/01/2019,23C,B,M,
338,KC19057790,08/02/2019,240,B,M,32.0
339,KC19038668,05/25/2019,240,W,F,
340,KC19058068,08/03/2019,90Z,W,F,45.0
341,KC19041679,06/05/2019,23H,W,F,64.0
342,KC19058123,08/03/2019,,W,M,74.0
343,KC19058199,08/03/2019,13A,W,M,40.0
344,KC19049723,07/04/2019,26B,W,M,46.0
345,KC19041825,06/05/2019,90Z,W,M,54.0
346,KC19058387,08/04/2019,,B,F,36.0
347,KC19058470,08/05/2019,,B,M,26.0
348,KC19047323,06/25/2019,,,,
349,KC19058587,08/05/2019,,W,M,36.0
350,KC19058618,08/05/2019,26F,W,M,30.0
351,KC19058821,08/06/2019,,B,M,43.0
352,KC19058881,08/06/2019,23C,,,
353,KC19058942,08/06/2019,23C,B,M,60.0
354,KC19059081,08/07/2019,120,U,F,25.0
355,KC19050118,07/05/2019,23C,B,F,
356,KC19059417,08/08/2019,,,M,31.0
357,KC19059890,08/09/2019,13A,B,M,27.0
358,KC19060271,08/11/2019,13B,B,M,
359,KC19060427,08/11/2019,13B,B,F,48.0
360,KC19060583,08/12/2019,,,,
361,KC19060939,08/13/2019,23D,,,
362,KC19045017,06/17/2019,200,I,M,38.0
363,KC19061071,08/13/2019,,,,
364,KC19061118,08/14/2019,,W,M,20.0
365,KC19061251,08/14/2019,,,,
366,KC19061284,08/14/2019,,,,
367,KC19061395,08/15/2019,,B,M,35.0
368,KC19051644,07/10/2019,35B,B,M,49.0
369,KC19046860,06/23/2019,11B,B,M,32.0
370,KC19061661,08/15/2019,13A,B,M,35.0
371,KC19061833,08/16/2019,23C,,,
372,KC19061907,08/16/2019,,B,F,
373,KC19061939,08/16/2019,23F,W,F,45.0
374,KC19045482,06/18/2019,290,W,M,24.0
375,KC19062222,08/17/2019,,B,M,27.0
376,KC19062345,08/18/2019,,W,M,25.0
377,KC19052728,07/14/2019,280,W,M,45.0
378,KC19062622,08/19/2019,,W,F,58.0
379,KC19062659,08/19/2019,240,W,M,32.0
380,KC19062740,08/19/2019,11A,W,F,
381,KC19062881,08/20/2019,220,W,M,30.0
382,KC19062999,08/20/2019,280,W,F,21.0
383,KC19063054,08/20/2019,290,W,M,21.0
384,KC19063122,08/21/2019,,W,F,58.0
385,KC19063141,08/21/2019,,B,M,49.0
386,KC19063256,08/21/2019,,,,
387,KC19063455,08/22/2019,11D,W,F,54.0
388,KC19063495,08/22/2019,,B,M,30.0
389,KC19063591,08/22/2019,13A,,,
390,KC19063622,08/22/2019,23C,,,
391,KC19063645,08/22/2019,290,W,M,30.0
392,KC19063789,08/23/2019,,W,M,18.0
393,KC19063990,08/23/2019,23C,,,
394,KC19096555,12/20/2019,290,W,F,40.0
395,KC19064344,08/25/2019,,B,F,45.0
396,KC19064363,08/25/2019,,,,
397,KC19064712,08/26/2019,90C,,,
398,KC19064862,08/27/2019,,B,M,29.0
399,KC19065137,08/27/2019,13B,W,F,24.0
400,KC19039410,05/28/2019,13A,,F,22.0
401,KC19065316,08/28/2019,,W,F,41.0
402,KC19050361,07/06/2019,,W,F,45.0
403,KC19044017,06/13/2019,90Z,W,M,20.0
404,KC19043921,06/12/2019,,W,M,18.0
405,KC19047667,06/26/2019,11A,,M,25.0
406,KC19050666,07/07/2019,120,B,F,
407,KC19038857,05/26/2019,90J,B,M,25.0
408,KC19066063,08/30/2019,13A,W,M,29.0
409,KC19066278,08/31/2019,290,B,M,44.0
410,KC19066390,09/01/2019,,,M,
411,KC19066471,09/01/2019,13B,B,F,57.0
412,KC19066515,09/01/2019,90Z,,,
413,KC19051073,07/08/2019,13B,B,M,
414,KC19039359,05/28/2019,,W,M,43.0
415,KC19066661,09/02/2019,,W,F,28.0
416,KC19066713,09/02/2019,240,W,M,
417,KC19039205,05/27/2019,90Z,W,F,26.0
418,KC19066753,09/02/2019,,W,M,33.0
419,KC19066926,09/03/2019,,W,M,34.0
420,KC19067149,09/03/2019,13A,B,F,39.0
421,KC19044664,06/15/2019,,W,M,22.0
422,KC19053307,07/16/2019,,,,
423,KC19067567,09/05/2019,,B,F,64.0
424,KC19067597,09/05/2019,,W,M,37.0
425,KC19067769,09/06/2019,,B,F,59.0
426,KC19067823,09/06/2019,13B,B,M,54.0
427,KC19068173,09/07/2019,,B,F,65.0
428,KC19040910,06/03/2019,13A,W,F,
429,KC19051239,07/09/2019,13A,W,M,35.0
430,KC19068304,09/07/2019,120,B,F,50.0
431,KC19068368,09/08/2019,13B,B,M,29.0
432,KC19068528,09/09/2019,120,W,M,
433,KC19068580,09/09/2019,23C,,,
434,KC19068672,09/09/2019,240,B,M,64.0
435,KC19068787,09/09/2019,290,B,M,51.0
436,KC19068798,09/09/2019,23C,,,
437,KC19068863,09/10/2019,120,,,
438,KC19052872,07/15/2019,11A,W,F,32.0
439,KC19069120,09/10/2019,,B,M,60.0
440,KC19039302,05/28/2019,90J,,,
441,KC19069471,09/12/2019,13A,B,M,26.0
442,KC19069510,09/12/2019,13B,B,F,
443,KC19048497,06/29/2019,,B,M,27.0
444,KC19041974,06/06/2019,240,,M,28.0
445,KC19070422,09/15/2019,90Z,B,M,24.0
446,KC19038124,05/23/2019,13B,W,F,39.0
447,KC19070555,09/16/2019,13B,B,M,43.0
448,KC19070782,09/16/2019,90J,W,F,28.0
449,KC19070823,09/16/2019,,B,F,40.0
450,KC19071543,09/18/2019,13A,B,M,42.0
451,KC19071650,09/19/2019,23F,W,M,30.0
452,KC19072382,09/21/2019,,W,M,37.0
453,KC19072441,09/22/2019,90C,W,M,41.0
454,KC19039007,05/27/2019,120,B,F,25.0
455,KC19072536,09/22/2019,13B,B,M,36.0
456,KC19050783,07/08/2019,200,,,
457,KC19072707,09/23/2019,,,,
458,KC19072772,09/23/2019,13B,B,M,
459,KC19072918,09/23/2019,23C,,,
460,KC19072952,09/23/2019,,B,M,26.0
461,KC19073075,09/24/2019,220,W,F,79.0
462,KC19073319,09/25/2019,13B,B,M,27.0
463,KC19073428,09/25/2019,23C,,,
464,KC19073538,09/25/2019,13B,W,M,26.0
465,KC19073568,09/25/2019,,W,M,
466,KC19073637,09/26/2019,,B,M,51.0
467,KC19073690,09/26/2019,,W,M,47.0
468,KC19073781,09/26/2019,,B,M,21.0
469,KC19073848,09/26/2019,,B,M,41.0
470,KC19073944,09/27/2019,,B,F,
471,KC19053415,07/17/2019,13A,B,M,
472,KC19074085,09/27/2019,13B,W,M,
473,KC19074196,09/27/2019,13A,B,M,
474,KC19051650,07/10/2019,,B,M,30.0
475,KC19074548,09/29/2019,,W,M,51.0
