,Report_No,Reported_Date,IBRS,Race,Sex,Age
13456,KC19033631,05/08/2019,23C,W,F,32.0
13457,KC19034437,05/10/2019,23C,,,
13458,KC19027113,04/14/2019,13B,B,F,32.0
13459,KC19027208,04/14/2019,23C,,,
13460,KC19023862,04/02/2019,23G,W,F,39.0
13461,KC19032947,05/05/2019,26E,B,M,67.0
13462,KC19022923,03/29/2019,09A,B,M,
13463,KC19027824,04/16/2019,,W,F,34.0
13464,KC19027366,04/15/2019,13A,W,F,67.0
13465,KC19023784,04/02/2019,23F,W,F,29.0
13466,KC19029992,04/24/2019,250,W,F,20.0
13467,KC19034661,05/11/2019,23F,W,M,
13468,KC19027042,04/13/2019,13B,W,F,36.0
13469,KC19035302,05/13/2019,13A,B,M,42.0
13470,KC19036597,05/18/2019,13A,W,M,27.0
13471,KC19022355,03/27/2019,,W,M,24.0
13472,KC19024118,04/03/2019,23C,,,
13473,KC19024909,04/06/2019,,B,M,25.0
13474,KC19028331,04/18/2019,,W,M,55.0
13475,KC19032479,05/03/2019,13A,W,M,34.0
13476,KC19025929,04/09/2019,90Z,B,F,43.0
13477,KC19031668,05/01/2019,290,B,M,36.0
13478,KC19029470,04/22/2019,520,B,M,34.0
13479,KC19030253,04/25/2019,,B,M,35.0
13480,KC19025694,04/09/2019,240,W,M,37.0
13481,KC19021767,03/25/2019,,B,M,38.0
13482,KC19035304,05/13/2019,13B,W,F,54.0
13483,KC19024519,04/04/2019,,B,M,61.0
13484,KC19028955,04/20/2019,23H,W,F,20.0
13485,KC19031862,05/01/2019,,W,M,54.0
13486,KC19029299,04/22/2019,290,W,M,
13487,KC19036302,05/17/2019,23C,,,
13488,KC19026491,04/11/2019,90Z,B,M,54.0
13489,KC19023822,04/02/2019,13A,B,M,
13490,KC19024334,04/04/2019,23F,,,
13491,KC19034739,05/11/2019,90Z,B,M,55.0
13492,KC19034659,05/11/2019,13B,B,F,45.0
13493,KC19032504,05/03/2019,290,B,M,42.0
13494,KC19029489,04/23/2019,,W,M,49.0
13495,KC19033587,05/07/2019,290,U,U,
13496,KC19020350,03/20/2019,120,W,F,55.0
13497,KC19026993,04/13/2019,23F,W,F,18.0
13498,KC19032520,05/03/2019,290,B,F,59.0
13499,KC19027382,04/15/2019,13B,W,M,
13500,KC19030778,04/27/2019,90Z,W,M,35.0
13501,KC19021655,03/25/2019,90Z,B,M,23.0
13502,KC19030351,04/25/2019,13B,B,M,57.0
13503,KC19029510,04/23/2019,90J,B,M,26.0
13504,KC19033200,05/06/2019,35A,W,M,34.0
13505,KC19035767,05/15/2019,280,W,F,23.0
13506,KC19028518,04/19/2019,23F,B,F,39.0
13507,KC19023960,04/02/2019,36B,B,M,32.0
13508,KC19035059,05/13/2019,90Z,B,F,
13509,KC19019844,03/18/2019,90Z,B,M,
13510,KC19031314,04/29/2019,13A,B,F,
13511,KC19023291,03/31/2019,23C,,,
13512,KC19028493,04/19/2019,290,,,
13513,KC19025406,04/08/2019,90C,W,M,
13514,KC19033890,05/08/2019,23C,,,
13515,KC19025101,04/06/2019,13B,W,F,47.0
13516,KC19026800,04/12/2019,35A,B,M,19.0
13517,KC19035685,05/15/2019,13C,W,M,56.0
13518,KC19022031,03/26/2019,220,W,F,23.0
13519,KC19035010,05/13/2019,240,,M,24.0
13520,KC19028325,04/18/2019,13A,B,M,31.0
13521,KC19023567,04/01/2019,,B,M,29.0
13522,KC19035155,05/13/2019,23B,B,F,30.0
13523,KC19035882,05/15/2019,13A,,M,23.0
13524,KC19025191,04/07/2019,240,B,M,47.0
13525,KC19034140,05/09/2019,23C,,,
13526,KC19032607,05/04/2019,,W,M,40.0
13527,KC19035432,05/14/2019,220,W,M,
13528,KC19028723,04/19/2019,13A,B,M,20.0
13529,KC19031222,04/29/2019,220,,M,32.0
13530,KC19036315,05/17/2019,240,W,M,19.0
13531,KC19032056,05/02/2019,250,W,F,28.0
13532,KC19031634,04/30/2019,200,B,M,
13533,KC19025562,04/08/2019,290,W,F,30.0
13534,KC19028942,04/20/2019,,W,M,50.0
13535,KC19024372,04/04/2019,13C,B,F,
13536,KC19025066,04/06/2019,13B,W,M,
13537,KC19036205,05/16/2019,,W,F,22.0
13538,KC19031226,04/29/2019,23H,,,
13539,KC19027842,04/16/2019,23D,W,F,26.0
13540,KC19033324,05/06/2019,,B,M,29.0
13541,KC19030061,04/24/2019,290,B,M,49.0
13542,KC19034530,05/11/2019,,B,M,28.0
13543,KC19036609,05/18/2019,120,W,M,37.0
13544,KC19027858,04/16/2019,90D,W,F,46.0
13545,KC19031018,04/28/2019,290,,,
13546,KC19033779,05/08/2019,23G,W,M,66.0
13547,KC19035024,05/13/2019,,W,M,60.0
13548,KC19031589,04/30/2019,,B,F,22.0
13549,KC19037205,05/20/2019,13B,B,F,28.0
13550,KC19030185,04/25/2019,,W,M,37.0
13551,KC19029631,04/23/2019,13B,W,F,23.0
13552,KC19026724,04/12/2019,90Z,W,F,24.0
13553,KC19025326,04/08/2019,,B,M,29.0
13554,KC19028086,04/17/2019,13A,B,F,
13555,KC19037067,05/20/2019,23H,,,
13556,KC19025709,04/09/2019,220,,,
13557,KC19027158,04/14/2019,23G,B,M,61.0
13558,KC19029183,04/21/2019,,B,F,27.0
13559,KC19024681,04/05/2019,290,,,
13560,KC19022014,03/26/2019,35A,W,F,39.0
13561,KC19030515,04/26/2019,23C,,,
13562,KC19027084,04/14/2019,290,,,
13563,KC19025308,04/07/2019,23C,B,F,22.0
13564,KC19024272,04/03/2019,,B,M,28.0
13565,KC19033593,05/07/2019,13A,B,M,
13566,KC19029563,04/23/2019,,B,M,
13567,KC19027257,04/15/2019,120,W,M,25.0
13568,KC19030622,04/26/2019,13C,W,F,62.0
13569,KC19027492,04/15/2019,13A,B,M,70.0
13570,KC19035838,05/15/2019,280,,,
13571,KC19031876,05/01/2019,26A,B,F,23.0
13572,KC19032518,05/03/2019,90C,W,F,44.0
13573,KC19031952,05/01/2019,280,B,F,29.0
13574,KC19022334,03/27/2019,120,B,M,43.0
13575,KC19029930,04/24/2019,90J,,,
13576,KC19025161,04/07/2019,26A,U,U,
13577,KC19029083,04/21/2019,13A,B,M,41.0
13578,KC19022097,03/27/2019,13A,W,F,36.0
13579,KC19028230,04/18/2019,23D,W,M,74.0
13580,KC19030385,04/25/2019,,B,F,34.0
13581,KC19028090,04/17/2019,13A,W,F,31.0
13582,KC19027657,04/16/2019,11B,W,M,40.0
13583,KC19022671,03/28/2019,35A,W,M,21.0
13584,KC19031254,04/29/2019,13B,B,F,
13585,KC19037012,05/19/2019,290,B,M,18.0
13586,KC19036059,05/16/2019,23C,B,M,25.0
13587,KC19035333,05/14/2019,26A,U,M,38.0
13588,KC19023841,04/02/2019,220,,,
13589,KC19026712,04/12/2019,,W,F,54.0
13590,KC19029396,04/22/2019,,B,M,
13591,KC19029480,04/22/2019,90J,W,F,38.0
13592,KC19023849,04/02/2019,35A,B,M,
13593,KC19026672,04/12/2019,90F,B,F,40.0
13594,KC19030812,04/27/2019,13B,B,F,23.0
13595,KC19027144,04/14/2019,13C,W,F,
13596,KC19030900,04/28/2019,23F,B,M,28.0
13597,KC19024138,04/03/2019,26A,W,F,24.0
13598,KC19022974,03/30/2019,13B,B,F,42.0
13599,KC19034319,05/10/2019,13A,W,M,50.0
13600,KC19029131,04/21/2019,290,B,F,
13601,KC19032720,05/04/2019,35B,W,M,50.0
13602,KC19028090,04/17/2019,13A,W,M,36.0
13603,KC19023417,04/01/2019,240,B,M,39.0
13604,KC19031457,04/30/2019,13A,B,M,
13605,KC19033932,05/08/2019,13A,W,F,31.0
13606,KC19035649,05/15/2019,290,,,
13607,KC19029492,04/23/2019,13A,W,M,21.0
13608,KC19025544,04/08/2019,200,W,M,22.0
13609,KC19034984,05/12/2019,220,W,M,54.0
13610,KC19033669,05/08/2019,13B,B,M,29.0
13611,KC19024270,04/03/2019,13B,B,M,38.0
13612,KC19027568,04/16/2019,290,,,
13613,KC19031252,04/29/2019,23F,W,M,25.0
13614,KC19030451,04/26/2019,290,B,F,38.0
13615,KC19027797,04/16/2019,23H,W,F,21.0
13616,KC19021994,03/26/2019,23C,,,
13617,KC19034968,05/12/2019,,W,M,32.0
13618,KC19036646,05/18/2019,13A,B,M,47.0
13619,KC19023745,04/02/2019,23F,W,F,33.0
13620,KC19028198,04/18/2019,,B,F,38.0
13621,KC19022483,03/28/2019,23C,,,
13622,KC19028384,04/18/2019,,W,F,54.0
13623,KC19033569,05/07/2019,11B,,M,27.0
13624,KC19030849,04/27/2019,270,B,F,25.0
13625,KC19023071,03/30/2019,13A,B,M,
13626,KC19027144,04/14/2019,13C,B,F,23.0
13627,KC19035814,05/15/2019,290,W,F,35.0
13628,KC19033539,05/07/2019,250,B,M,87.0
13629,KC19027977,04/17/2019,23F,B,M,23.0
13630,KC19027965,04/17/2019,290,W,M,54.0
13631,KC19035112,05/13/2019,26A,W,F,71.0
13632,KC19024373,04/04/2019,23D,,,
13633,KC19023889,04/02/2019,120,B,M,
13634,KC19033653,05/08/2019,13A,B,M,
13635,KC19037144,05/20/2019,23H,W,F,55.0
13636,KC19036750,05/18/2019,11B,B,F,29.0
13637,KC19035847,05/15/2019,120,B,M,31.0
13638,KC19020942,03/22/2019,13A,W,F,
13639,KC19030107,04/25/2019,,B,M,25.0
13640,KC19021623,03/25/2019,90Z,W,M,58.0
13641,KC19032458,05/03/2019,23D,W,F,41.0
13642,KC19020836,03/21/2019,13B,B,F,45.0
13643,KC19024462,04/04/2019,23C,,,
13644,KC19024412,04/04/2019,26B,B,M,68.0
13645,KC19034930,05/12/2019,120,B,F,20.0
13646,KC19029767,04/23/2019,90J,,,
13647,KC19026841,04/13/2019,35A,B,M,23.0
13648,KC19036935,05/19/2019,13B,B,M,37.0
13649,KC19034117,05/09/2019,26A,W,M,34.0
13650,KC19033515,05/07/2019,,B,M,82.0
13651,KC19024930,04/06/2019,120,B,M,20.0
13652,KC19035448,05/14/2019,26E,B,M,65.0
13653,KC19025429,04/08/2019,280,U,M,
13654,KC19031055,04/28/2019,35A,B,M,52.0
13655,KC19029627,04/23/2019,26E,W,F,
13656,KC19036342,05/17/2019,,W,M,60.0
13657,KC19034599,05/11/2019,,B,M,26.0
13658,KC19028472,04/19/2019,290,B,F,26.0
13659,KC19025223,04/07/2019,13C,B,F,21.0
13660,KC19025211,04/07/2019,,B,M,
13661,KC19029690,04/23/2019,13B,B,M,
13662,KC19022890,03/29/2019,250,W,F,69.0
13663,KC19024573,04/04/2019,13A,U,M,23.0
13664,KC19037116,05/20/2019,,B,F,38.0
13665,KC19027715,04/16/2019,220,W,F,57.0
13666,KC19024104,04/03/2019,240,,,
13667,KC19025548,04/08/2019,13A,W,M,39.0
13668,KC19032455,05/03/2019,290,W,M,48.0
13669,KC19024605,04/05/2019,,B,M,28.0
13670,KC19033824,05/08/2019,23D,B,M,
13671,KC19026771,04/12/2019,13A,B,M,29.0
13672,KC19034476,05/10/2019,23C,W,F,27.0
13673,KC19034284,05/10/2019,,W,F,28.0
13674,KC19035291,05/13/2019,13B,B,M,44.0
13675,KC19031306,04/29/2019,120,B,M,34.0
13676,KC19029903,04/24/2019,13B,W,M,
13677,KC19030835,04/27/2019,220,B,F,22.0
13678,KC19026348,04/11/2019,13B,B,M,66.0
13679,KC19035552,05/14/2019,90J,W,M,28.0
13680,KC19029285,04/22/2019,23F,W,M,30.0
13681,KC19028023,04/17/2019,35A,W,M,26.0
13682,KC19034753,05/11/2019,23D,W,F,35.0
13683,KC19035912,05/15/2019,13B,B,F,44.0
13684,KC19026886,04/13/2019,13B,W,M,40.0
13685,KC19035134,05/13/2019,250,W,M,45.0
13686,KC19030016,04/24/2019,23C,,,
13687,KC19024434,04/04/2019,290,B,F,69.0
13688,KC19031295,04/29/2019,290,W,M,58.0
13689,KC19030291,04/25/2019,90J,B,M,35.0
13690,KC19030650,04/26/2019,13A,B,F,62.0
13691,KC19036986,05/19/2019,11B,B,M,
13692,KC19031268,04/29/2019,26B,B,F,46.0
13693,KC19034824,05/12/2019,23F,W,M,41.0
13694,KC19023449,04/01/2019,13A,W,M,24.0
13695,KC19021772,03/25/2019,23C,B,M,26.0
13696,KC19023611,04/01/2019,90Z,W,M,43.0
13697,KC19022949,03/30/2019,13B,B,M,36.0
13698,KC19025331,04/07/2019,,W,M,33.0
13699,KC19025090,04/06/2019,23C,,,
13700,KC19029602,04/23/2019,13B,B,M,43.0
13701,KC19024437,04/04/2019,,W,M,26.0
13702,KC19034065,05/09/2019,220,B,M,20.0
13703,KC19022393,03/27/2019,90J,B,F,31.0
13704,KC19029711,04/23/2019,23D,B,F,63.0
13705,KC19022703,03/29/2019,240,W,M,68.0
13706,KC19035101,05/13/2019,23F,W,F,38.0
13707,KC19028652,04/19/2019,220,U,M,55.0
13708,KC19035576,05/14/2019,35A,W,M,43.0
13709,KC19021610,03/25/2019,26B,B,M,33.0
13710,KC19032877,05/05/2019,,W,M,36.0
13711,KC19036580,05/18/2019,13B,B,F,52.0
13712,KC19027933,04/17/2019,,W,M,28.0
13713,KC19029504,04/23/2019,23F,W,M,
13714,KC19027710,04/16/2019,13A,B,F,38.0
13715,KC19029409,04/22/2019,23C,W,M,
13716,KC19031682,05/01/2019,23F,W,M,27.0
13717,KC19025594,04/08/2019,120,B,M,41.0
13718,KC19023364,03/31/2019,13B,B,F,46.0
13719,KC19022183,03/27/2019,90J,B,M,19.0
13720,KC19024759,04/05/2019,13B,W,M,38.0
13721,KC19033433,05/07/2019,23F,B,F,53.0
13722,KC19028484,04/19/2019,220,,,
13723,KC19029822,04/24/2019,,B,M,26.0
13724,KC19033416,05/07/2019,13C,W,F,41.0
13725,KC19023479,04/01/2019,13A,W,F,44.0
13726,KC19027260,04/15/2019,240,B,M,56.0
13727,KC19027831,04/16/2019,23G,B,F,56.0
13728,KC19035255,05/13/2019,13A,B,M,33.0
13729,KC19030684,04/27/2019,13B,W,M,31.0
13730,KC19036858,05/19/2019,13B,B,F,25.0
13731,KC19025734,04/09/2019,23H,W,M,
13732,KC19025973,04/10/2019,13A,B,M,
13733,KC19034767,05/12/2019,13B,W,M,36.0
13734,KC19025500,04/08/2019,13A,B,M,27.0
13735,KC19032820,05/05/2019,13A,B,F,
13736,KC19029636,04/23/2019,90Z,B,M,22.0
13737,KC19024559,04/04/2019,,B,M,24.0
13738,KC19036920,05/19/2019,,W,M,44.0
13739,KC19035009,05/13/2019,290,B,F,23.0
13740,KC19024376,04/04/2019,13C,W,M,47.0
13741,KC19035345,05/14/2019,13A,B,M,38.0
13742,KC19025617,04/08/2019,,B,M,28.0
13743,KC19023146,03/30/2019,13B,B,F,25.0
13744,KC19026822,04/13/2019,90D,W,F,35.0
13745,KC19036715,05/18/2019,23C,,,
13746,KC19031709,05/01/2019,23D,,,
13747,KC19027897,04/17/2019,90J,B,M,30.0
13748,KC19029602,04/23/2019,13B,B,M,29.0
13749,KC19027275,04/15/2019,23F,W,F,31.0
13750,KC19024575,04/04/2019,11B,B,M,34.0
13751,KC19026647,04/12/2019,13A,W,M,47.0
13752,KC19026010,04/10/2019,220,,,
13753,KC19034329,05/10/2019,,W,M,37.0
13754,KC19022530,03/28/2019,90J,W,M,29.0
13755,KC19025255,04/07/2019,13B,B,F,36.0
13756,KC19027850,04/16/2019,13B,B,F,22.0
13757,KC19033942,05/09/2019,290,W,F,28.0
13758,KC19027621,04/16/2019,,B,M,56.0
13759,KC19036093,05/16/2019,13A,B,M,
13760,KC19023102,03/30/2019,13B,W,M,22.0
13761,KC19024045,04/03/2019,35A,W,M,19.0
13762,KC19030525,04/26/2019,270,W,F,20.0
13763,KC19028827,04/20/2019,13B,B,F,31.0
13764,KC19020100,03/19/2019,23F,I,F,33.0
13765,KC19025478,04/08/2019,220,B,M,
13766,KC19035268,05/13/2019,90C,W,F,
13767,KC19033730,05/08/2019,290,W,M,31.0
13768,KC19025808,04/09/2019,290,,,
13769,KC19032895,05/05/2019,290,W,M,79.0
13770,KC19030101,04/25/2019,13B,B,F,28.0
13771,KC19023794,04/02/2019,13B,B,F,49.0
13772,KC19024014,04/03/2019,,W,M,24.0
13773,KC19030942,04/28/2019,13A,B,M,
13774,KC19035205,05/13/2019,,W,F,76.0
13775,KC19031314,04/29/2019,13A,B,F,
13776,KC19022274,03/27/2019,13A,B,M,57.0
13777,KC19031416,04/30/2019,290,W,M,59.0
13778,KC19031343,04/29/2019,13A,B,M,
13779,KC19030593,04/26/2019,250,W,M,53.0
13780,KC19035350,05/14/2019,120,W,F,35.0
13781,KC19031152,04/29/2019,23F,B,M,51.0
13782,KC19035619,05/14/2019,,W,M,42.0
13783,KC19031969,05/02/2019,13B,B,M,48.0
13784,KC19036922,05/19/2019,13B,B,M,19.0
13785,KC19026544,04/12/2019,,W,M,34.0
13786,KC19025662,04/09/2019,90C,B,M,35.0
13787,KC19034350,05/10/2019,220,,,
13788,KC19029847,04/24/2019,26A,B,F,27.0
13789,KC19028160,04/17/2019,120,W,M,
13790,KC19023000,03/30/2019,13B,B,M,59.0
13791,KC19030261,04/25/2019,13B,B,M,40.0
13792,KC19031031,04/28/2019,23H,W,F,45.0
13793,KC19033008,05/05/2019,13A,B,M,38.0
13794,KC19030263,04/25/2019,290,W,M,61.0
13795,KC19021489,03/24/2019,23H,W,M,28.0
13796,KC19028044,04/17/2019,23F,W,F,25.0
13797,KC19021718,03/25/2019,290,W,M,
13798,KC19028563,04/19/2019,23F,,M,
13799,KC19027249,04/15/2019,290,B,F,26.0
13800,KC19028445,04/18/2019,13B,B,M,
13801,KC19022054,03/26/2019,290,B,M,
13802,KC19022734,03/29/2019,23H,B,F,29.0
13803,KC19021699,03/25/2019,23F,W,,
13804,KC19030488,04/26/2019,13B,W,M,
13805,KC19032553,05/03/2019,13B,W,M,56.0
13806,KC19029927,04/24/2019,240,B,F,33.0
13807,KC19023855,04/02/2019,,B,M,18.0
13808,KC19029737,04/23/2019,120,W,F,25.0
13809,KC19031085,04/29/2019,220,,,
13810,KC19026942,04/13/2019,23G,W,F,26.0
13811,KC19024933,04/06/2019,,W,M,38.0
13812,KC19030707,04/27/2019,,W,M,53.0
13813,KC19030376,04/25/2019,,B,M,40.0
13814,KC19033595,05/07/2019,13C,W,M,
13815,KC19035943,05/16/2019,120,B,F,
13816,KC19028241,04/18/2019,23F,B,F,24.0
13817,KC19023668,04/01/2019,220,W,M,37.0
13818,KC19035255,05/13/2019,290,W,F,25.0
13819,KC19033217,05/06/2019,13B,W,F,24.0
13820,KC19032129,05/02/2019,23H,B,F,55.0
13821,KC19022619,03/28/2019,35A,U,M,
13822,KC19020048,03/19/2019,13A,W,M,41.0
13823,KC19034953,05/12/2019,26A,W,F,
13824,KC19036822,05/19/2019,120,B,M,28.0
13825,KC19030221,04/25/2019,90C,B,M,62.0
13826,KC19022982,03/30/2019,240,U,M,32.0
13827,KC19021645,03/25/2019,,B,F,61.0
13828,KC19020697,03/21/2019,,W,F,39.0
13829,KC19036117,05/16/2019,13A,B,M,
13830,KC19034236,05/09/2019,23C,B,M,
13831,KC19025658,04/09/2019,23F,W,M,32.0
13832,KC19031066,04/29/2019,240,,,
13833,KC19028721,04/19/2019,240,W,F,26.0
13834,KC19034724,05/11/2019,23G,B,F,82.0
13835,KC19023845,04/02/2019,13B,B,M,48.0
13836,KC19025113,04/06/2019,13B,W,F,63.0
13837,KC19023802,04/02/2019,90Z,W,M,30.0
13838,KC19026403,04/11/2019,13A,I,M,53.0
13839,KC19032571,05/04/2019,13A,B,M,43.0
13840,KC19021805,03/26/2019,240,W,M,54.0
13841,KC19032356,05/03/2019,,U,F,36.0
13842,KC19022870,03/29/2019,90J,W,M,38.0
13843,KC19030049,04/24/2019,90D,B,M,49.0
13844,KC19030008,04/24/2019,290,W,M,50.0
13845,KC19027835,04/16/2019,240,W,F,26.0
13846,KC19026918,04/13/2019,13B,B,M,37.0
13847,KC19027582,04/16/2019,23C,B,M,23.0
13848,KC19024142,04/03/2019,13B,W,M,26.0
13849,KC19035785,05/15/2019,23F,W,M,26.0
13850,KC19023926,04/02/2019,13B,W,F,29.0
13851,KC19026672,04/12/2019,90F,B,F,39.0
13852,KC19028152,04/17/2019,,,M,30.0
13853,KC19026552,04/12/2019,,,U,
13854,KC19022249,03/27/2019,13B,B,M,25.0
13855,KC19026960,04/13/2019,220,W,M,73.0
13856,KC19026244,04/10/2019,13B,W,M,30.0
13857,KC19025807,04/09/2019,,W,F,36.0
13858,KC19028433,04/18/2019,240,W,F,45.0
13859,KC19025753,04/09/2019,90J,,,
13860,KC19032594,05/04/2019,23F,W,F,24.0
13861,KC19031358,04/30/2019,13B,W,F,35.0
13862,KC19023142,03/30/2019,13A,B,M,27.0
13863,KC19025329,04/08/2019,13B,B,M,25.0
13864,KC19022395,03/27/2019,13A,W,M,24.0
13865,KC19030653,04/26/2019,90J,,,
13866,KC19033375,05/07/2019,23F,,,
13867,KC19022886,03/29/2019,290,,F,18.0
13868,KC19022944,03/30/2019,290,W,M,52.0
13869,KC19031734,05/01/2019,220,B,F,32.0
13870,KC19027730,04/16/2019,23D,B,M,22.0
13871,KC19025551,04/08/2019,,W,F,48.0
13872,KC19028262,04/18/2019,23C,B,F,36.0
13873,KC19029050,04/21/2019,,W,F,19.0
13874,KC19024530,04/04/2019,13B,B,M,31.0
13875,KC19032047,05/02/2019,23C,W,M,26.0
13876,KC19036365,05/17/2019,,B,M,22.0
13877,KC19033900,05/08/2019,90D,B,M,35.0
13878,KC19035544,05/14/2019,23D,B,M,64.0
13879,KC19033803,05/08/2019,23C,,,
13880,KC19034942,05/12/2019,13A,W,M,49.0
13881,KC19030034,04/24/2019,23C,B,F,
13882,KC19036537,05/17/2019,26B,B,F,24.0
13883,KC19026864,04/13/2019,23C,,,
13884,KC19024427,04/04/2019,,B,F,25.0
13885,KC19028629,04/19/2019,13A,B,F,22.0
13886,KC19031317,04/29/2019,240,W,M,50.0
13887,KC19023332,03/31/2019,23C,W,F,
13888,KC19035932,05/16/2019,23D,B,F,18.0
13889,KC19022088,03/27/2019,13B,W,M,27.0
13890,KC19034577,05/11/2019,240,W,M,33.0
13891,KC19022895,03/29/2019,,B,F,40.0
13892,KC19027236,04/14/2019,,B,M,21.0
13893,KC19027021,04/13/2019,23C,B,M,
13894,KC19021818,03/26/2019,,W,M,36.0
13895,KC19036248,05/17/2019,90D,B,M,27.0
13896,KC19028381,04/18/2019,90Z,B,M,29.0
13897,KC19030432,04/26/2019,240,W,M,51.0
13898,KC19022044,03/26/2019,,W,M,35.0
13899,KC19034778,05/12/2019,23C,,,
13900,KC19036403,05/17/2019,90J,W,M,33.0
13901,KC19026469,04/11/2019,23G,B,M,42.0
13902,KC19033428,05/07/2019,26A,,,
13903,KC19033167,05/06/2019,90C,,F,26.0
13904,KC19028422,04/18/2019,23C,W,F,
13905,KC19024867,04/05/2019,,B,M,20.0
13906,KC19025854,04/09/2019,290,W,M,56.0
13907,KC19030640,04/26/2019,,,,
13908,KC19024159,04/03/2019,13B,B,M,22.0
13909,KC19021687,03/25/2019,290,W,M,26.0
13910,KC19026370,04/11/2019,90Z,B,M,36.0
13911,KC19028986,04/20/2019,13C,B,F,22.0
13912,KC19033524,05/23/2019,13C,W,M,58.0
13913,KC19030802,04/27/2019,220,W,F,18.0
13914,KC19029272,04/22/2019,90J,,,
13915,KC19029615,04/23/2019,,W,M,29.0
13916,KC19024546,04/04/2019,,W,M,20.0
13917,KC19029023,04/20/2019,,B,M,25.0
13918,KC19036336,05/17/2019,,B,M,51.0
13919,KC19023236,03/31/2019,35A,W,M,22.0
13920,KC19021737,03/25/2019,23D,U,F,53.0
13921,KC19034514,05/10/2019,23F,W,F,37.0
13922,KC19032263,05/02/2019,220,W,F,41.0
13923,KC19031333,04/29/2019,,B,M,41.0
13924,KC19030747,04/27/2019,23F,W,F,22.0
13925,KC19036580,05/18/2019,13B,B,M,44.0
13926,KC19028141,04/17/2019,13B,B,F,
13927,KC19027696,04/16/2019,,W,F,30.0
13928,KC19036139,05/16/2019,,W,M,34.0
13929,KC19023362,03/31/2019,13A,U,U,
13930,KC19035865,05/15/2019,90Z,W,F,22.0
13931,KC19021653,03/25/2019,220,W,F,25.0
13932,KC19029609,04/23/2019,26A,W,F,30.0
13933,KC19035424,05/14/2019,240,W,M,59.0
13934,KC19022712,03/29/2019,35A,W,M,33.0
13935,KC19022474,03/28/2019,240,B,M,42.0
13936,KC19036987,05/19/2019,13B,B,F,27.0
13937,KC19023260,03/31/2019,13A,B,M,44.0
13938,KC19025444,04/08/2019,90J,W,M,39.0
13939,KC19028563,04/19/2019,23F,W,M,78.0
13940,KC19026834,04/13/2019,13A,B,F,48.0
13941,KC19026280,04/11/2019,13A,B,M,35.0
13942,KC19025623,04/08/2019,13B,W,M,57.0
13943,KC19022585,03/28/2019,23C,,,
13944,KC19025939,04/09/2019,240,B,M,50.0
13945,KC19025676,04/09/2019,240,B,F,48.0
13946,KC19032714,05/04/2019,240,W,M,27.0
13947,KC19023599,04/01/2019,220,W,F,35.0
13948,KC19023345,03/31/2019,13B,B,M,24.0
13949,KC19024918,04/06/2019,13A,B,F,42.0
13950,KC19028125,04/17/2019,120,B,M,23.0
13951,KC19025128,04/07/2019,13A,B,F,21.0
13952,KC19036232,05/16/2019,13A,B,M,20.0
13953,KC19034639,05/11/2019,90J,B,F,43.0
13954,KC19021899,03/26/2019,,B,M,35.0
13955,KC19027803,04/16/2019,13B,W,F,38.0
13956,KC19034863,05/12/2019,,W,F,24.0
13957,KC19030800,04/27/2019,13B,W,F,41.0
13958,KC19033019,05/06/2019,,W,M,27.0
13959,KC19036505,05/17/2019,240,W,M,21.0
13960,KC19027845,04/16/2019,290,W,M,26.0
13961,KC19022841,03/29/2019,13A,W,M,33.0
13962,KC19022304,03/27/2019,13A,W,M,55.0
13963,KC19035243,05/13/2019,13A,B,M,43.0
13964,KC19033029,05/06/2019,240,W,M,31.0
13965,KC19022037,03/26/2019,290,,,
13966,KC19023256,03/31/2019,23G,B,F,30.0
13967,KC19024609,04/05/2019,220,,,
13968,KC19033141,05/06/2019,120,B,F,32.0
13969,KC19020750,03/21/2019,120,W,M,64.0
13970,KC19022225,03/27/2019,13B,W,F,
13971,KC19025548,04/08/2019,13A,,F,28.0
13972,KC19025041,04/06/2019,13A,B,M,
13973,KC19036619,05/18/2019,290,W,F,38.0
13974,KC19028705,04/19/2019,23C,B,F,50.0
13975,KC19029145,04/21/2019,13B,W,F,59.0
13976,KC19034547,05/11/2019,,W,M,38.0
13977,KC19024718,04/05/2019,23F,,,
13978,KC19026811,04/13/2019,120,W,M,65.0
13979,KC19035818,05/15/2019,23F,W,M,50.0
13980,KC19027883,04/16/2019,,B,F,39.0
13981,KC19036502,05/17/2019,40A,B,M,36.0
13982,KC19026166,04/10/2019,290,B,M,30.0
13983,KC19031103,04/29/2019,240,W,M,21.0
13984,KC19031866,05/01/2019,23F,W,M,19.0
13985,KC19023727,04/02/2019,23C,W,M,44.0
13986,KC19027543,04/15/2019,13A,W,F,38.0
13987,KC19035832,05/15/2019,280,W,M,25.0
13988,KC19023951,04/02/2019,290,B,M,33.0
13989,KC19031188,04/29/2019,23H,W,M,
13990,KC19022520,03/28/2019,13B,W,F,25.0
13991,KC19023486,04/01/2019,120,W,F,26.0
13992,KC19030791,04/27/2019,23G,B,F,23.0
13993,KC19020134,03/19/2019,23D,,,
13994,KC19025060,04/06/2019,,W,F,21.0
13995,KC19034186,05/09/2019,,W,M,29.0
13996,KC19029067,04/21/2019,290,B,M,25.0
13997,KC19022283,03/27/2019,26A,W,M,
13998,KC19027735,04/16/2019,,W,M,40.0
13999,KC19030956,04/28/2019,23F,W,M,19.0
14000,KC19032146,05/02/2019,23C,,,
